15,নগর ও অঞ্চল পরিকল্পনা বিভাগ,24
10,প্রশাসনিক,2
13,পানিসম্পদ কৌশল বিভাগ,13
30,গণিত বিভাগ,8
7,রসায়ন বিভাগ,7
11,বস্তু ও ধাতব কৌশল বিভাগ,6
12,ইন্ডাষ্ট্রিয়াল এন্ড প্রোডাকশন ইঞ্জিনিয়ারিং বিভাগ,17
14,মানবিক বিভাগ,23
16,ইনষ্টিটিউট অফ এপ্রোপ্রিয়েট টেকনোলজি,26
17,পানি ও বন্যা ব্যবস্থাপনা ইনষ্টিটিউট,25
19,নৌযান ও নৌযন্ত্র কৌশল বিভাগ,16
24,ছাত্র কল্যাণ পরিদপ্তর,3
21,ইনষ্টিটিউট অফ ইনফরমেশন এন্ড কমিউনিকেশন টেকনোলজি,27
28,পেট্রোলিয়াম এন্ড মিনারেল রিসোর্সেস ইঞ্জিঃ বিভাগ,10
29,স্থাপত্য ও পরিকল্পনা অনুষদ,21
3,পুরকৌশল বিভাগ,12
1,কম্পিউটার কৌশল বিভাগ,20
2,তড়িৎ ও ইলেকট্রনিক কৌশল বিভাগ,19
26,উপাচার্য,1
31,পুরকৌশল অনুষদ,11
32,তড়িৎ ও ইলেকট্রনিক কৌশল অনুষদ ,18
27,প্রকৌশল অনুষদ,4
6,কেমিকৌশল বিভাগ,5
4,স্থাপত্য বিভাগ,22
5,যন্ত্রকৌশল বিভাগ,15
8,পদার্থ বিজ্ঞান বিভাগ,9
34,বায়োমেডিকেল ইঞ্জিনিয়ারিং বিভাগ,28
35,গ্লাস এন্ড সিরামিকস ইঞ্জিনিয়ারিং,29
37,robotics,31
36,ন্যানোম্যাটেরিয়ালস এন্ড সিরামিক ইঞ্জিনিয়ারিং,30
